Topic,URL,Description
Identify risk factors,https://rhlaiservice2.blob.core.windows.net/hmbs-enc2/Identify_Risk_Factors_CB.mp4,"A woman is at a risk of getting an infection inside her uterus after her water's have broken especially if more than 18 hours passes before she has a baby. She can also get an infection from frequent vaginal exams. Limit vaginal exams to every four hours during labor or only as necessary. Suspect a uterine infection if a woman has a fever thirty eight degrees centigrade or above and uterine tenderness. She may also have chills, foul smelling fluid from the vagina, a fast pulse over one hundred and her baby's heart rate may also be too high - more than 160 beats per minute. Remember that a woman can also have a fever due to other infections such as pneumonia, malaria or a kidney infection. Risk of abnormal heart rate: Every time you listen to the baby's heart decide whether the rate is normal or not. A baby who's heart rate is slower than 120 or faster than 160 for more than ten minutes maybe in trouble.
Related keywords: chorioamnionitis, uterine infection, fetal tachycardia, maternal fever, maternal infection, prolonged rupture of membranes, amniotic infection, amnionitis, fetal infection, risk factors infection, vaginal discharge, foul smelling discharge, uterine tenderness."
Measure temperature,https://rhlaiservice2.blob.core.windows.net/hmbs-enc2/how_to_measure_temperature.mp4,"Here's how to determine the baby's temperature. infant temperature, baby temperature, thermometer, cold, hypothermia, fever, hyperthermia, measure temperature, tactile temperature. If you don't have a thermometer, compare the temperature of baby's trunk with your own body temperature using the back of your hands. Feel his feet. The baby's temperature should be similar to yours. As a rough guide, if the feet are warm the baby is warm. If the feet are cold, and the trunk is warm the baby is cold and needs to be warmed right away. If the feet and the trunk are cold, the baby is very cold maybe even quite sick and needs urgent warming and care. To check the temperature using a thermometer, shake it down. Read it to be sure it's below thirty five degrees centigrade. In very hot regions, the thermometer will read higher than a fever if you forget to shake it down. Place it deep under the arm and hold the baby's arm against it's body. Wait three minutes and read the number at the top of the line. Some thermometers will need to be rolled before you see the line. To use a digital thermometer, turn it on and place it deep under the arm. When it beeps, read the temperature in the little window. The normal temperature is between 36.5 to 37.5 centigrade. The baby is too warm if the temperature is above 37.5 and too cold if it is 36.5. 
Related keywords: infant temperature, baby temperature, thermometer, cold, hypothermia, fever, hyperthermia, measure temperature, tactile temperature."
Weigh the baby,https://rhlaiservice2.blob.core.windows.net/hmbs-enc2/Weight_the_Baby_CB.mp4,"Here's how to take the baby's weight? An accurate weight is important for calculating drug doses and to monitor the baby's weight. But it's also important to keep the baby warm while you weigh him, here's how. First place the baby's cloth on the scale pan, set the scale to zero to include the weight of the blanket you are wrapping him, completely undress the baby, wrap him snugly in the cloth to keep him warm and to reduce his movements. Place him on the scale but balance only when the baby and the pan are not moving. Record the weight. Normal birth weight is from 2.5 to 4 kilos, low birth weight is below 2.5 kilos and very low birth weight is less than 1.5 kilos. Low birth weight babies need special care and possibly referral to a higher level facility.
Related keywords: weigh baby, weigh infant, weighing baby, weighing infant, weight, birthweight, scale, low birthweight, very low birthweight, normal birthweight, balance, 1.5 kg, 2.5 kg."
Examine the baby,https://rhlaiservice2.blob.core.windows.net/hmbs-enc2/Examine_the_Baby_CB.mp4,"The baby's exam is best done on the first day of life. The health worker carefully examines the baby's body systems for signs of health and normal function as well as for illness or birth defects. This video would demonstrate the exam in three parts - observation, vital signs and the head to toe exam. Ask the mother if shed had any problems during her pregnancy or birth. Ask what she has observed about the baby. Explain to her that you are going to examine the baby to be sure he is healthy. Tell the mother what you are looking for and give positive feedback as you come across normal findings. First wash your hands, then clean the thermometer and stethoscope with antiseptic. Keep the baby warm during the exam. In a warm room, under a lamp or in the mother's lap. Observe the baby, look at his color, his tongue and lips are pink. Inspect his skin. A bluish area on the trunk is normal. Check for jaundice by pressing the skin on the forehead or nose, look for a yellow discoloration best seen in natural light. Check for pallor, a sign of anemia by comparing whiteness on the baby's palm with your palm. The baby's arms and legs are flexed and moving showing that his muscle tone and activity are normal. Check the hands and feet for extra digits. If there is no bone inside, tying a tag will eventually allow it to fall off. Count the baby's breath for a full minute when she is calm. Breathing is normally irregular, the rate should be thirty to sixty breaths per minute. Here is an example of baby breathing too fast with chest indrawing. Nasal flaring can be seen in some babies with breathing problems. Count his heart rate for a full minute with a stethoscope, the rate should be between one hundred and one hundred sixty beats per minute. Now, examine the baby from head to toe. Check the fontanelles on the baby's head. The anterior is here and the posterior is back here. They are normally flat but they swell a little when the baby cries. It's normal to have an uneven shape of the head due to molding from the pressure from the birth canal. It usually goes away by two or three days after birth. Check the baby's eyes for discharge and abnormalities. This baby's eyes are clear. Occasionally we see a spot of blood on the white of the eye due to the trauma of birth. This would go away without treatment. If the pupils are white the baby will be need to be seen by an eye specialist. With a gloved hand, insert your finger tip into the baby's mouth to check his suckling. Ask the mother if the baby has breastfed and whether he sucked well. A baby born with a cleft lip and palette won't be able to suck and will need an alternative feeding method. Its normal for both girls and boys to have swollen breast at birth from the mother's hormones. Gently press his abdomen to feel for softness. A swollen belly can be a sign of obstruction or infection. Notice that the cord is tied well. Some baby's are born with an umbilical hernia, as abdominal muscles mature hernia usually goes away by itself. Turn him gently over and run your finger down the spine to check for openings or defects. This baby has a large spinal defect and will need surgery. The anus is checked by the passage of the first stool. If no stool is passed within twenty four hours, the baby may have a blockage and will need referral. This baby was born with a closed anus that will require surgery. Look at the genitals. In males, you look for the urethra to open at the end of the penis. Feel gently for the two testes in scrotal sac, sometimes they have not yet dropped into the sac. Females can have a white vaginal discharge and even a slight bloody discharge several days after birth. Reassure the mother that she has a perfectly healthy baby.
Related keywords: belly, abdomen, molding, umbilical hernia, cleft, spine, anus, newborn vaginal discharge."
Count a baby's breaths,https://rhlaiservice2.blob.core.windows.net/hmbs-enc2/Count_a_Babys_Breaths_CB.mp4,"Here's how to count the baby's breaths. Newborns are abdominal breathers. One way to count is by feelin the rise of the breaths with your hand on the abdomen or count by watching the number of rises. Hold a time piece in view, count the number of times abdomen rises in over one minute. It's important to count the breaths over a full minute because a baby's breathing is naturally irregular. He may stop for a few seconds and then breath fast. Count the breaths only when the baby is resting quietly. A normal rate is thirty to sixty breaths per minute. If you count more than sixty breaths count again to see if the fast breathing continues. If he's breathing more than sixty breaths per minute on the second count he's breathing too fast and will need special care.
Related keywords: breathing, count, irregular, abdominal breathing, sixty, tachypnea, baby."
Provide eye care,https://rhlaiservice2.blob.core.windows.net/hmbs-enc2/Provide_Eye_Care_CB.mp4,"To apply eye ointment gently open the baby's eyelids and run a line of the ointment across each eye from inside to outside. Avoid touch the baby's eye with the tube.
Related keywords: ointment, prophylaxis, eye infection, apply medicine to the eye, eyelids."
Provide cord care,https://rhlaiservice2.blob.core.windows.net/hmbs-enc2/Provide_Cord_Care_CB_A.mp4,"The umbilical cord is an entry point for dangerous infection, including tetanus. Infection can easily pass through the cord into the baby's body leading to sepsis and death. The fresh cord stump can also bleed into if not tightly tied or clamped. Do not put anything on the cord stump unless advised by your country's practice. Let it dry open to air. Along with other newborn assessments, check the cord for bleeding every 30 minutes to 1 hour for at least 6 hours. Bleeding from the cord stump can be rapidly fatal. Here the tie is placed too close to the baby's belly. There are only two knots and the second knot is loose. Because the cord is cut too close to the baby's belly and the knot is loose, the cord stump starts to bleed. Re-tie or clamp the cord if you see any bleeding. This baby's cord has been slowly losing blood. There is shock due to severe blood loss. He has rapid breathing, pale lips and pale inner eyelids. Prevent these emergencies by securing the cord well. Over the next few days, the cord stump dries out, changing from light to dark yellow to brown to black and then falls off. The wound heals in one to two weeks. Advise the mother and her family to wash their hands before and after caring for the cord. Immersing the baby during a bath is safe for the cord. If the cord does get soiled, wash it with clean water and soap. Dry it thoroughly. Keep cloth folded below the stump. In many cultures it is common to cover the cord binding the baby's abdomen with a cloth. This practice should be avoided. It can delay drying of the cord and increase the chance of infection. Instead, advise the family to keep it open to air or loosely covered with the baby's clothes. Some babies are born with an umbilical hernia. Binding is not helpful. The hernia will usually go away by itself as the baby grows. In many cultures there are deeply rooted beliefs to apply some kind of substance to the cord stump despite the recommendation to apply nothing. This is dangerous as the substances can be contaminated with germs that may lead to infection. Dung is a particularly dangerous source for tetanus.
Related keywords: umbilical cord, stump, cord care, cord falls off, cord dries, cord infection, cord treatment, cord ties, bleeding from cord, umbilical ties, shock, umbilical care, bathing, dry cord, umbilical hernia, soiled cord, cleaning cord, cord handling."
Apply chlorhexidine,https://rhlaiservice2.blob.core.windows.net/hmbs-enc2/Provide_Cord_Care_CB_B.mp4,"In areas of the world where newborns are at greatest risk for cord infection chlorhexidine gel or solution applied to the cord stump is recommended for babies born at home. Apply it as a single application or everyday for seven days according to your national guidelines. Caution mothers to use chlorhexidine only on the cord, never in the eyes. It can cause blindness. Soon after the cord is cut apply the gel. Wash your hands with soap and water, expose the cord stump while keeping the baby warm skin to skin on the mother. Use the sharp point on the cap to pierce the end of the tube and squeeze the gel on to the cord. With your clean finger spread it around the entire cord stump and surrounding skin. Chlorhexidine sticks well to the skin and is effective even after bathing. The gel takes a few minutes to dry, allow it to fully dry before placing the baby in her normal chest down position on the mother.
Related keywords: application, omphalitis, cord infection, prophylaxis, umbilical cord, gel, baby, infant, provider, cord care."
Give vitamin K,https://rhlaiservice2.blob.core.windows.net/hmbs-enc2/Give_Vitamin_K_CB.mp4,"Wait until the baby has had skin to skin contact for at least an hour before you provide other newborn care. Keep the baby with the mother and give Vitamin K in the baby's upper outer thigh.
Related keywords: Vitamin K injection for newborn, thigh, prevent bleeding, upper outer thigh, care provider."
Classify the baby,https://rhlaiservice2.blob.core.windows.net/hmbs-enc2/Classify_the_Baby_CB.mp4,"Classify whether he is well or unwell within 90 minutes after birth. Classification is based on the baby's exam, temperature and and weight. A well small baby weighs between 1500 to 2500 grams. He maintains a normal temperature with skin to skin contact. He breathes comfortably with a normal rate between 30 and 60 breaths per minute. The baby is able to breastfeed or drink expressed milk with a spoon. These babies can be managed at a lower level health facility. The unwell small baby weighs less than 1500 grams or develops a danger sign. The danger signs are fast breathing, chest in drawing, a temperature that is too low or too high, no movement and convulsions. You can delay classifying the baby as well or unwell for up to 4 hours if the baby is improving over time with your interventions. For example, this baby had fast breathing and improved over time. This baby had a low temperature, then was warmed with extra blankets and within a short time his temperature had risen to the normal range. This baby appears to have poor feeding but feeds well by spoon. Well small babies tire easily and often do not breastfeed initially. Babies that are changing and getting worse need immediate action. This baby appeared well at birth and became unwell later, developing long pauses in his breathing and chest in drawing. He required a speedy transfer to a higher level of care.
Related keywords: classify, classification, well, unwell, transfer, normal breathing, improving breathing, baby."
